geneID,name
DDB_G0272813,cdk1
DDB_G0271642,cks1
DDB_G0274503,plk
DDB_G0279343,aurK
DDB_G0291133,DDB_G0291133
DDB_G0269684,DDB_G0269684
DDB_G0291842,DDB_G0291842
DDB_G0275983,cdc6
DDB_G0267748,cdc45
DDB_G0283073,orcA
DDB_G0269894,orcB
DDB_G0271078,orcC
DDB_G0271562,orcD
DDB_G0293214,orcE
DDB_G0284771,orcF
DDB_G0282677,spt16
DDB_G0290331,ssrp1
DDB_G0289271,gins1
DDB_G0293564,gins2
DDB_G0291506,gins3
DDB_G0269324,gins4
DDB_G0286623,mcm2
DDB_G0280309,mcm3
DDB_G0275623,mcm4
DDB_G0292958,mcm5
DDB_G0272760,mcm6
DDB_G0282933,mcm7
DDB_G0287103,DDB_G0287103
DDB_G0284731,DDB_G0284731
DDB_G0282191,polA1
DDB_G0282731,polA2
DDB_G0270442,polA3
DDB_G0285853,polA4
DDB_G0285381,polD1
DDB_G0281641,polD2
DDB_G0294609,polD3
DDB_G0272158,wrnip1
DDB_G0283189,DDB_G0283189
DDB_G0278367,DDB_G0278367
DDB_G0284987,repG
DDB_G0274493,lig1
DDB_G0267916,mtmr15
DDB_G0270418,top2
DDB_G0287607,pcna
DDB_G0285961,rfc1
DDB_G0291868,rfc2
DDB_G0293702,rfc3
DDB_G0286027,rfc4
DDB_G0282235,rfc5
DDB_G0281907,DDB_G0281907
DDB_G0267904,DDB_G0267904
DDB_G0272758,DDB_G0272758
DDB_G0271400,dcc1
DDB_G0287975,DDB_G0287975
DDB_G0280397,DDB_G0280397
DDB_G0284281,DDB_G0284281
DDB_G0278935,rad18
DDB_G0275809,msh2
DDB_G0281683,msh3
DDB_G0268614,msh6
DDB_G0270764,myh
DDB_G0279923,apnA
DDB_G0289513,rfa1
DDB_G0273139,rad51
DDB_G0276073,recA
DDB_G0269406,rad52
DDB_G0279167,topbp1
DDB_G0274525,rad9
DDB_G0285353,hus1
DDB_G0269378,rad1
DDB_G0292504,rad17
DDB_G0291380,atr1
DDB_G0293656,fhkA
DDB_G0286539,DDB_G0286539
DDB_G0286539,DDB_G0286539
DDB_G0274473,DDB_G0274473
DDB_G0287899,rif1
DDB_G0279667,H2AX
DDB_G0278203,xrcc4
DDB_G0292760,lig4
DDB_G0281229,pnkp
DDB_G0293866,DDB_G0293866
DDB_G0293546,mre11
DDB_G0291750,mnd1
DDB_G0280989,hop2
DDB_G0279195,adprt1B
DDB_G0292820,adprt2
DDB_G0274389,pARTf
DDB_G0289141,pART
DDB_G0278229,DDB_G0278229
DDB_G0284071,rnrA
DDB_G0272616,rnrB-1
DDB_G0271914,DDB_G0271914
DDB_G0288019,DDB_G0288019
DDB_G0280045,thyA
DDB_G0289179,thyB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0290033,dtymk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0274527,DDB_G0274527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0274161,DDB_G0274161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0285319,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0293758,H2Bv1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0267402,H3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0270838,H3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0271092,H3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0277183,H4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDB_G0276863,H4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0274269,DDB_G0274269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0282529,rbbD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0288225,slbp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0284195,DDB_G0284195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0277383,DDB_G0277383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0283113,eriA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
DDB_G0291896,DDB_G0291896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
